month,account,debit,credit,description
2024-01,Accounts Receivable,20000.00,,Cash expected for orders
2024-01,Revenue,,20000.00,Revenue for orders
2024-01,Accounts Receivable,1500.00,,Cash expected for shipping
2024-01,Shipping Revenue,,1500.00,Revenue for shipping
2024-01,Accounts Receivable,750.00,,Cash expected for taxes
2024-01,Sales Tax Payable,,750.00,Cash to be paid for sales tax
2024-01,Cash,22250.00,,Cash received
2024-01,Accounts Receivable,,22250.00,Clears out what customers owed
2024-01,TOTAL,44500.00,44500.00,Monthly totals must balance

2024-02,Accounts Receivable,15000.00,,Cash expected for orders
2024-02,Revenue,,15000.00,Revenue for orders
2024-02,Accounts Receivable,1200.00,,Cash expected for shipping
2024-02,Shipping Revenue,,1200.00,Revenue for shipping
2024-02,Accounts Receivable,600.00,,Cash expected for taxes
2024-02,Sales Tax Payable,,600.00,Cash to be paid for sales tax
2024-02,Cash,16800.00,,Cash received
2024-02,Accounts Receivable,,16800.00,Clears out what customers owed
2024-02,TOTAL,33600.00,33600.00,Monthly totals must balance
